date,KBFI,KSEA,KRNT
201505191311,0,0,0
201505191312,0,0,0
201505191313,0,0,0
201505191314,0,0,0
201505191315,0,0,0
201505191316,0,0,0
201505191317,0,0,0
201505191318,0,0,0
201505191319,0,0,0
201505191320,0,0,0
201505191321,0,0,0
201505191322,0,0,0
201505191323,0,0,0
201505191324,0,0,0
201505191325,0,0,0
201505191326,0,0,0
201505191327,0,0,0
201505191328,0,0,0
201505191329,0,0,0
201505191330,0,0,0
201505191331,0,0,0
201505191332,0,0,0
201505191333,0,0,0
201505191334,0,0,0
201505191335,0,0,0
201505191336,0,0,0
201505191337,0,0,0
201505191338,0,0,0
201505191339,0,0,0
201505191340,0,0,0
201505191341,0,0,0
201505191342,0,0,0
201505191343,0,0,0
201505191344,0,0,0
201505191345,0,0,0
201505191346,0,0,0
201505191347,0,0,0
201505191348,0,0,0
201505191349,0,0,0
201505191350,0,0,0
201505191351,0,0,0
201505191352,0,0,0
201505191353,0,0,0
201505191354,0,0,0
201505191355,0,0,0
201505191356,0,0,0
201505191357,0,0,0
201505191358,0,0,0
201505191359,0,0,0
201505191400,0,0,0
201505191401,0,0,0
201505191402,0,0,0
201505191403,0,0,0
201505191404,0,0,0
201505191405,0,0,0
